country,region,population,income,lifeExpectancy
Singapore ,ASIA,4492150,23700,81.981
Slovakia ,EUROPE,5439448,13300,75.146
Slovenia ,EUROPE,2010347,19000,79.293
Solomon Islands ,OCEANIA,552438,1700,67.251
South Africa ,AFRICA,44187637,10700,55.461
Spain ,EUROPE,40397842,22000,81.814
Sri Lanka ,ASIA,20222240,3700,73.941
Sudan ,AFRICA,41236378,1900,61.691
Swaziland ,AFRICA,1136334,4900,48.717
Sweden ,EUROPE,9016596,26800,81.56
Switzerland ,EUROPE,7523934,32700,82.336
Tajikistan ,ASIA,7320815,1000,66.983
Tanzania ,AFRICA,37445392,600,60.116
Thailand ,ASIA,64631595,7400,74.046
Togo ,AFRICA,5548702,1500,55.854
Tonga ,OCEANIA,114689,2200,72.361
Trinidad & Tobago ,LATIN AMERICA,1065842,9500,69.657
Tunisia ,AFRICA   ,10175014,6900,75.388
Turkey ,ASIA,70413958,6700,74.609
Turkmenistan ,C.W. OF IND. STATES ,5042920,5800,65.147
Uganda ,AFRICA,28195754,1400,58.038
Ukraine ,EUROPE,46710816,5400,68.301
United Arab Emirates ,ASIA,2602713,23200,76.5
United Kingdom ,EUROPE,60609153,27700,80.244
United States ,AMERICA   ,298444215,37800,78.654
Uruguay ,LATIN AMERICA,3431932,12800,76.938
Uzbekistan ,ASIA,27307134,1700,67.993
Vanuatu ,OCEANIA,208869,2900,71.055
Venezuela ,LATIN AMERICA,25730435,4800,74.32
Vietnam ,ASIA,84402966,2500,75.641
Yemen ,ASIA,21456188,800,62.731
Zambia ,AFRICA,11502010,800,55.851
